Id	EssaySet	Score1	Score2	EssayText
4921	3	2	1	Pandas in China only eat bamboo and Koalas in Australia eat exclusively eucalyptus leaves. They are both restricted to one food while pythons eat a varity of foods potentially harming native species.
4924	3	2	1	Panda's are similar to Koala's by they are both specialist species. They only survive in certain conditions. They are not able to adapt very well and can only eat and live in certain climates. They are both different form pythons by they are not reptiles. Also a python is a generalist specie and can easily adapt to change. They eat a variety of foods, and accept change.
4928	3	2	1	A panda from china and a koala from Australia are very simmilar because they are both specialists. Panda's only eat bamboo and koalas exclusively eat eucalyptus leaves.This shows that they are unable to adopt , unlike a python whose habitat in Asia is simmilar to those in about a third of the continental united states.
4936	3	2	2	China's panda is similar to Australia's Koala because in the article it states that the panda only eats bamboo and the koala eats eucalyptus leaves constantly. they both only eat one thing and are different from pythons because they eat multiple things (not plants) and are more vicious.
4944	3	2	1	Pandas and koalas are similar to each other because they both only eat one type of food, while pythons try to eat anything that moves and fit in their mouth. This means that the koalas and pandas are much more likely to go about alike because of their food sources than the pythons.
4946	3	2	1	Koala's and panda's are both specialists, which means that their is only 1 food that is essential to their diets and can't be found much of anywhere else. While a python is a generalists and can survive in other places because it's food source is not limited.
4948	3	2	2	Pandas and koalas are similar because they both almost exclusively eat just one food, pandas eat bamboo, and koalas eat eucalyptus leaves. Both animals are different from the python because pythons can adapt to different food sources while pandas and koalas can not.
4956	3	2	2	Pandas in China are similar to koalas in Australia. They both rely on eating just one thing, bamboo or eucalyptus leaves exclusively. The panda and koala are different from a python because they are specialists and a python is a generalist.
4961	3	2	2	"Well in China a specialist is a panda who eats almost nothing but bamboo and the Australian koala bear eats eucalyptus leaves all the time. They're both different form pythons because pythons can eat anything and can almost survive anywhere. ""A python swallowed an alligator..."" They'll eat anything but the panda and the koala stick with what they know which is the bamboo and the eucalyptus leaves."
4974	3	2	1	Pandas in China are similar to koalas in Australia because they are both specialists. Another similarity between the two is that they both feed to one specific plant. Pandas and koalas are different than pythons because a python is a generalist. Also a python has more than one food source that is not plant or vegetation.
4979	3	2	2	China's panda and Australia's koala are similar because they are both special lists. This means that they only eat specific items, such as bamboo and eucalyptus leaves. The python, on the other hand, is a generalist carnivor that will eat any meat.
4980	3	2	1	China's panda are similar to Australias Koalas because they both have a strict diet and are picky paters. They are both different from pythons because a python will eat a lot more different food. Like the time when a python swallowed a n alligator and exploded in the Everglades in 2005.
4996	3	2	2	Pandas in China are similar to koalas in Australia because they don't eat everything. They are both different from pythons because pythons will eat anything.
4998	3	2	2	Pandas in China, and koalas in Australia are similar because they both are specialists. So they have to stay in specific habitats to survive. Pythons are generalists, they can move anywhere and adapt to their surroundings to survive. In the article it says that the pandas mostly eat bamboo and koalas mostly eat eucalyptus leaves.
4999	3	2	1	Pandas and Koalas are both alike because they are specialists. They both consume a primary food. For example pandas' diets are mainly made up of bamboo; Koalas diets mainly consist of eucalyptus leaves. They differ from pythons because they can only live in places where their primary food source is present.
5000	3	2	2	The China's panda and Australia's koalas are similar because are specialist so can subsist with hurmn stwond and they are different of pythons because are generalist so can subsit many place but the specialist not can only at a determinate place.
5002	3	2	2	The pandas in China and koalas in Australia are similar because both species live in only one area around the world. Also both just eat one type off food like bamboo and eucalyptus leaves. But both pandas and koalas are different than the python because a python can eat many foods and live in different areas around the world.
5005	3	2	1	Pandas are similar to koalas because they are both specialists. For example bamboo is to pandas as eucalyptus leaves is to koalas. These two species are different from snakes since a snake is a generalist species. Snakes are generalists because they can adapt to many different locations where as pandas are stuck on China and koalas are in Australia.
5015	3	2	1	Both pandas in China and Koalas in Australia are similar because they they are specialist. This means that they would not be able to survive anywhere else because the certain food sources they need are only incaled in China and Australia. A python , a generalist is different because it can live anywhere on earth, as long as it has a climate that is suitable.
5016	3	2	2	Pandas are specialist, meaning they dine on bamboo. Koala's do much of the same thing. They eat only eucalyptus leaves. Both these animals are different from pythons. In the article the author talks about them being generalists, this means the python can live almost anywhere in the world. Pandas and koala's, however, can not.
5027	3	2	2	Pandas and koalas are similar because they are both wild animals that are starting to become more popular living with people. They are different than pythons because they are more cuddly and aren't able to live in as much climate as snakes.
5032	3	2	2	Pandas in China are similar to koalas in Australia because they both require special native food. Pandas eat bamboo which is predominatly found in China. The koala which lives in Australia, only eats eucalyptus leaves. They are similar because they are both specialist animals. They are both different from pythons because whereas the python can survive in the south of of the U.S, the panda and koala need to continue to live where they live now.
5035	3	2	2	Pandas in China and koalas in Australia are similar for they are both specialists species, meaning that they are stable creatures who live the same lifestyle. For example they eat only bamboo and eucalyptus leaves respectively. They both are different from the python because the python is a generalist species. That means that it is able to adapt to changes. It can eat a variety of things, it can change.
5044	3	2	1	Koalas and pandas are both similar in each other because they both require exclusive and specific habitats to survive. For instance, the Australian koala's diet consist strictly of eucalyptus leaves, as well as the Chinese panda bear which survives off bamboo. These two in comparen to the pythons which can survive in any environment that is warm.
5045	3	2	2	Pandas in China are similar to koalas in Australia because they are specialists, meaning they require one certain food and environment to survive. Pythons are generalists, who aren't very specific in what they eat. This means that they can adapt very easily to new environments, whereas, specialists cannot.
5049	3	2	1	Pandas in China are similar to koalas in Australia because they are both specialists and depend on certain foods that they can't survive without. They are both different from pythons because a python is a generalist and can live anywhere and change can benefit it, but specialists need stability.
5052	3	2	1	Koalas and pandas alike are specialist, they both rely on one food so once. For example pandas only eat bamboo and koalas only eat eucalyptus leaves. Both species are different then cobras because they are specialists and cobras are generalist so they can survive on multiple types of food.
5055	3	2	1	"Panda's in China and Koalas in Australia differ from pythons in that pythons are ""generalist"" whereas Koalas and pandas are specialists this means that pythons can thrive in multiple habitats, which differs from the pandas and koala's that need specifics (such as bamboo for pandas) to survive."
5057	3	2	1	"Pandas and koalas live in one specific area, china or Australia limited by its habits. Each animal ""eats almost nothing but bamboo, or... eats eucalyptus leaves almost exclusively."" A python, however, adapts and changes, giving it many options for survival, such as Asia or its now USA home."
5070	3	2	2	"Well the obvious difference between pandas/ koalas and pythons is that the python is a generalist and a panda or koala are specialist. Bob Roy MacInnes, co-owner of Glads Help Farms, said "" A generalist is change... specialist is stability... Earth a rapidly changing place"" That is one of the difference between pythons and panda/koala."
5072	3	2	1	The pandas in China are similar to the Koalas in Australia because they only eat one thing in specific, the pandas only eats bamboo s the koala eats eucalyptus this makes them different from the python because the pythons can eat almost anything. For example they can eat mices/rats/reptiles/birds and so on.
5077	3	2	2	Pandas are similar to Koalas. Both Koalas and Pandas are alike cause they both clime tree's there both the same color and both live the same the dont make there own foods.
5078	3	2	1	Pandas in China are similar to koalas in Australia because they are both specialists. Pandas eat mostly only bamboo and koalas eat mostly only eucalyptus leaves. Both species would not respond well to change unlike pythons which are generalists. Pythons can respond well to change and can be seen in multiple locations.
5080	3	2	1	The similarity between panda bears from China and koala bears from Australia is the two species eat mainly one or a few things. Panda's eat bamboo and koalas eat eucalyptus tree leaves. These animals differ from pythons because this harmful animal will eat anything that is meat, and can survive with the changes in its own diet.
5081	3	2	2	"as the author said, "" China's panda eats almost nothing but bamboo"" and just like the panda, the koala "" eats eucalyptus leaves almost exclusively ."" Where as the python can adapt and it does not rely on only one food source."
5082	3	2	1	Pandas in china are similar to koalas in Australia because they both eat food that grows in their area.Pandas eat bamboo and koalas eat eucalyptus leaves. Pandas and koalas are different from pythons because pythons can adopt to a new environment more quickly then the pandas or koala can. pythons often do best around humans where as pandas and koalas do not.
5088	3	2	2	Panda's and Koalas are the same because of their diet and because they aren't in the bear family.The different between panda and a Koala versus a snake is the snake is smaller animal is more dangerous.
5093	3	2	1	According to the article panda's in China are similar to koalas in Australia because they both are specialist. However they differ from a python because pythons can live anywhere meaning they can adapt to different environments. As the the pandas and koalas they cannot survive without certain sources.
5097	3	2	2	Pandas and koalas are similar because they are both specialists. They both have essentially one type of food, bamboo and eucalyptus leaves respectively. They are different from pythons because pythons are generalists which can live anywhere, whereas specialists can only live in certain environments.
5103	3	2	1	Pandas in China are similar to Koalas because they are both specialist meaning they live in specific places due to the one specific thing they eat. They are different from pythons because pythons are generalists and can live almost anywhere.
5111	3	2	2	How pandas in china are similar to koalas in Australia is that they are both bears that eat plants. However, the difference between them and pythons are snakes that take in whole animals for their food the author explains that skip show tagged a radio transmitter to a key lamp wood rat and was tracked all the way into a python.
5113	3	2	2	Pandas in China are more likely to survive in China because their main food source, bamboo is found in China. This is similar to the Australian koala bear who, according to the article, eats eucalyptus leaves almost exclusively. The python is different from both of these animals because the python can inhabit a climate similar to those found in Asia and be able to survive and repopulate.
5140	3	2	0	Pandas and koalas are similar because they both eat plants for most of their life. They are also similar because they are both specialist that live in warm areas. The two are different from pythons because a python is a generalist, which depends on other animals to survive such as a raccon.
5141	3	2	1	Pandas bears in China and koalas bears in Australia are a like because they only eat on thing.Pandas eat bamboo and koalas eat eucalyptus leaves. Also they both only eat plants pythons different because the eat a lot of different things like alligator.
5142	3	2	2	Pandas in China and koalas in Australia are similar because they are both specialists who have a very picky diet. The are different from a python because a python is a generalist and it will eat a wide variety of things.
5149	3	2	2	Pandas in China are similar to koalas because they both can adapt to the climate change in areas rather than a python.
5151	3	2	2	Pandas in China and koalas in Australia are both specialist. They both very little and they don't eat meat. In the article it says that pandas only eat bamboo and koalas eat eucalyptus leaves. A python is different from this because they are generalist. Pythons will eat anything if they need to and in the article it says that they can live almost anywhere.
5156	3	2	2	Panda's and koalas are similar because they don't have a wide range of food choice. they eat very little. A python is different from a panda & koala bear because a python is a generalist were a panda & koala are specialist.
5158	3	2	2	Pandas in China are similar to koalas in Australia because they both need a special place to live that has no right food that they eat & the right climate they live in. Pythons are way different as in the article ''A generalist is a python the ultimate generalist arguably a human being'' meaning pythons can survive anywhere.
5161	3	2	1	Chinese pandas and Australian koalas almost exclusively eat bamboo and eucalyptus leaves respectively, while pythons are only restricted to warm weather places, with no food restrictions. As stated in paragraph 20, pythons are generalists. As stated in p. 21, koalas and pandas are specialists.
5171	3	2	1	"China's panda and Australia's koala bear are both called ""specialists"" in the article ""One man's pet, Another's Invasive species"" by Joel Achenbach. They both have limited diets, mainly eating 1 food, for the panda it's bamboo and for the koala it's eucalyptus leaves. These animals differ from the python because it is called a ""generalist"" and the python is carnivorous and can eat anything."
5172	3	2	2	The panda and the koala both are specialist species. They eat only one type of food and introducing them to a different part of the world would be nearly impossible,  while a python can be introduced to any part of the world because it can adapt better. A python swallowed an alligator. Pythons can eat any thing while pandas and koalas can't adapt.
