cand id	similarity score	score
5978	0.03495597	1
5979	0.112635	2
5980	-0.056249518	1
5981	-0.15196311	1
5982	-0.036126703	2
5983	-0.027207244	1
5984	-0.018175127	1
5985	-0.16582261	0
5986	0.14172001	2
5989	0.03756513	1
5991	-0.019565526	2
5992	-0.018002432	1
5993	-0.009896657	2
5994	-0.08069115	2
5995	-0.039179083	2
5996	0.10520024	1
5997	-0.00687677	2
5998	-0.038333613	2
5999	-0.051153746	1
6000	-0.0742131	2
6001	-0.15130413	1
6002	0.016974377	2
6004	-0.05993441	1
6006	-0.017124824	2
6008	-0.07117768	1
6010	0.08002897	1
6011	-0.13005613	1
6012	-0.09921944	0
6013	0.076028705	1
6015	-0.012627659	2
6017	0.068261266	1
6018	-0.10172265	2
6019	-0.03237365	1
6020	0.04054264	2
6021	-0.030072447	2
6022	0.0535948	2
6023	-0.067378715	2
6024	-0.0030410776	1
6025	-0.07738909	1
6028	0.007122217	2
6029	-0.042300683	1
6032	0.041315004	2
6034	0.010952612	2
6035	-0.02132392	1
6036	-0.12025624	2
6037	-0.007356364	2
6038	-0.27363765	2
6039	-0.0052670576	1
6040	-0.11278581	1
6041	0.03082115	2
6042	-0.013295135	2
6043	0.04112147	1
6044	0.06849824	2
6045	-0.19968837	2
6046	0.05761661	1
6047	0.01099711	1
6048	0.17192419	1
6049	0.07317163	1
6051	0.14549495	1
6052	-0.11235919	2
6053	-0.09529581	1
6054	0.07439569	1
6055	-0.0026617816	2
6056	-0.064842306	1
6058	-0.08296905	2
6059	-0.14670348	1
6060	-0.0843711	1
6062	0.04747768	1
6063	-0.067994274	2
6064	-0.07334362	2
6065	0.07788316	2
6066	-0.023703525	1
6067	0.01091659	1
6068	-0.007945438	2
6069	-0.030763939	2
6070	-0.066169485	2
6071	0.066219985	2
6072	0.21825056	2
6073	-0.08760924	2
6074	0.035942353	2
6076	-0.056727346	2
6077	0.016095709	1
6078	0.023709176	2
6080	-0.07896984	2
6081	0.02987397	2
6082	0.04997454	1
6083	-0.020318467	1
6086	-0.03134383	1
6087	0.0123373605	2
6088	0.11180119	2
6090	0.05340268	1
6092	-0.057144783	1
6093	-0.07252181	1
6094	0.083196834	1
6096	-0.0024562415	2
6097	-0.03881462	1
6099	-0.14345616	1
6100	0.086659946	2
6101	-0.11236766	2
6102	-0.07762536	2
6103	0.084455155	2
6104	-0.08520315	1
6106	0.02537292	1
6107	-0.05785111	2
6108	0.018482378	1
6109	-0.005369121	2
6110	0.044405878	2
6111	-0.07821831	2
6112	-0.122499526	1
6114	-0.0073256386	1
6115	-0.05438447	2
6116	0.0022058496	2
6117	0.0527126	1
6119	-0.0017598061	1
6120	-0.08156099	2
6122	0.010129744	2
6125	0.0071490575	2
6126	-0.10227924	1
6129	0.0025406473	2
6130	-0.098251775	1
6131	0.04458458	1
6133	0.121294186	1
6134	-0.03944678	2
6135	0.05111066	2
6136	0.040674724	1
6137	0.03248384	2
6138	0.10876894	2
6139	0.044987183	2
6140	-0.058833607	1
6141	-0.045174714	2
6142	0.073232375	2
6146	-0.01462373	2
6147	0.12157424	2
6148	-0.01371893	2
6149	0.0014412539	2
6150	0.10601957	2
