cand id	similarity score	score
4918	0.103896014	1
4919	0.24874257	1
4920	0.372582	1
4921	1.0000014	2
4922	0.5582929	0
4923	0.39302582	1
4924	1.0	2
4925	0.495553	1
4926	0.34014937	1
4927	0.1017276	1
4928	1.0000007	2
4929	0.4512202	1
4930	0.08682204	1
4931	0.20263092	1
4932	0.332579	1
4933	0.27232	1
4934	0.17309386	1
4935	0.076797895	1
4936	1.0000007	2
4937	0.37839115	1
4938	0.4966287	1
4939	0.44025382	1
4940	0.03853138	1
4941	0.24870089	0
4942	0.23989092	0
4943	0.20204291	1
4944	1.0	2
4945	0.4633757	1
4946	0.99999964	2
4947	0.32884607	1
4948	1.0000014	2
4949	0.31962004	1
4950	0.20833625	1
4951	0.09205697	0
4952	0.35777673	0
4953	0.57901645	0
4954	0.47535777	1
4955	0.30628288	1
4956	1.0	2
4957	0.27332264	1
4958	0.19115068	1
4959	0.25479117	1
4960	0.2711281	1
4961	0.99999964	2
4962	0.5822564	1
4963	0.12983859	0
4964	0.21575548	1
4965	0.24687894	0
4966	0.13817921	1
4967	0.2941359	1
4968	0.16943087	0
4969	0.29353234	1
4970	0.2772357	0
4971	0.23196349	1
4972	0.45750862	1
4973	0.2267367	1
4974	1.0000007	2
4975	0.38370448	1
4976	0.13773635	1
4977	0.19840957	1
4978	0.2725238	1
4979	1.0	2
4980	1.0	2
4981	0.32315308	1
4982	0.38437584	1
4983	0.3813962	1
4984	0.58855397	1
4985	0.094200656	1
4986	0.2116881	1
4987	0.23872018	0
4988	0.37378487	1
4989	0.3715232	0
4990	0.35464594	1
4991	0.2832631	1
4992	0.3933133	1
4993	0.24264452	0
4994	0.45035636	0
4995	0.302871	1
4996	1.0	2
4997	0.06274064	0
4998	1.0	2
4999	1.0000007	2
5000	1.0	2
5001	0.20641576	0
5002	1.0	2
5003	0.39049685	1
5004	0.3554024	0
5005	0.9999993	2
5006	0.3021869	0
5007	0.1957711	0
5008	0.22142407	0
5009	0.21843138	1
5010	0.08735285	1
5011	0.21161713	0
5012	0.07806327	1
5013	0.28904575	1
5014	0.27025968	0
5015	1.0	2
5016	1.0000007	2
5017	0.03746519	0
5018	0.23977719	0
5019	0.16600166	1
5020	0.45678288	1
5021	0.34120178	1
5022	0.30095333	0
5023	0.4265635	1
5024	0.08519538	1
5025	0.40369874	1
5026	0.07736119	1
5027	0.9999989	2
5028	0.26602915	0
5029	0.2074816	1
5030	0.24349812	0
5031	0.21963249	1
5032	1.0	2
5033	0.22467987	1
5034	0.4120256	1
5035	1.0	2
5036	0.39944986	1
5037	0.20060413	1
5038	0.4003458	0
5039	0.3730432	1
5040	0.30435744	1
5041	0.22241788	0
5042	0.2913	0
5043	0.17831607	0
5044	1.0	2
5045	1.0000007	2
5046	0.45963994	1
5047	0.517882	1
5048	0.29500854	1
5049	1.0000007	2
5050	0.28329948	0
5051	0.03946126	1
5052	0.99999964	2
5053	0.28947696	1
5054	0.49063522	1
5055	1.0	2
5056	0.35328874	1
5057	1.0	2
5058	0.16422066	1
5059	0.2392072	1
5060	0.5313403	1
5061	0.25928164	1
5062	0.42771447	0
5063	0.2789877	1
5064	0.13908754	1
5065	0.26971084	1
5066	0.38394216	1
5067	0.19364224	0
5068	0.44265214	1
5069	0.29697424	1
5070	1.0	2
5071	0.32729214	1
5072	0.99999964	2
5073	0.29895443	0
5074	0.12955959	1
5075	0.1840486	1
5076	0.41147465	1
5077	1.0000014	2
5078	1.0	2
5079	0.3513301	0
5080	1.0	2
5081	1.0	2
5082	0.99999964	2
5083	0.35993916	1
5084	0.1723826	1
5085	0.43717602	0
5086	0.38769802	1
5087	0.3398234	1
5088	1.0000014	2
5089	0.6607307	1
5090	0.33002952	1
5091	0.25415653	0
5092	0.1216258	1
5093	0.99999964	2
5094	0.43861303	1
5095	0.22645275	1
5096	0.44432014	1
5097	1.0	2
5098	0.40017596	1
5099	0.22013468	1
5100	0.16400912	0
5101	0.07608027	1
5102	0.29138368	1
5103	1.0000007	2
5104	0.535402	1
5105	0.31678912	1
5106	0.17086753	0
5107	0.23992765	1
5108	0.11233023	0
5109	0.25761083	0
5110	0.18483368	0
5111	1.0	2
5112	0.35962164	1
5113	0.9999993	2
5114	0.2828626	1
5115	0.21962154	1
5116	0.13587306	1
5117	0.2550737	1
5118	0.07698578	0
5119	0.2981033	0
5120	0.23981746	1
5121	0.03709684	0
5122	0.22499067	1
5123	0.09895951	1
5124	0.41918135	1
5125	0.4060423	1
5126	0.20363742	1
5127	0.18114384	0
5128	0.27282363	1
5129	0.069215864	1
5130	0.2999002	1
5131	0.3932508	0
5132	0.22727808	0
5133	0.24576788	1
5134	0.18401928	0
5135	0.25094065	1
5136	0.4455636	1
5137	0.22817123	0
5138	0.25046283	0
5139	0.1921964	0
5140	1.0000007	2
5141	1.0000007	2
5142	1.0	2
5143	0.08284579	1
5144	0.5481893	1
5145	0.52021253	1
5146	0.38776124	1
5147	0.23920225	1
5148	0.209739	0
5149	0.99999964	2
5150	0.07428162	1
5151	1.0	2
5152	0.39568478	1
5153	0.37836996	0
5154	0.23736368	1
5155	0.18704094	0
5156	0.9999993	2
5157	0.19079258	0
5158	1.0	2
5159	0.2543363	0
5160	0.2348347	1
5161	0.9999993	2
5162	0.29896572	0
5163	0.3896464	0
5164	0.38384256	1
5165	0.43046135	0
5166	0.25291166	0
5167	0.40192586	1
5168	0.31640556	1
5169	0.16039875	1
5170	0.21562974	1
5171	0.99999964	2
5172	1.0	2
5173	0.19440117	1
5174	1.0	2
5175	1.0	2
5176	0.48399365	1
5177	0.14299951	0
5178	0.32501036	1
5179	0.47316217	1
5180	0.11846077	0
5181	0.3480224	1
5182	0.11260252	1
5183	0.16949126	1
5184	0.29398263	1
5185	0.3031182	1
5186	0.13469103	1
5187	1.0	2
5188	0.12270718	1
5189	0.24437748	1
5190	0.22932395	0
5191	0.31108412	1
5192	0.29369727	1
5193	0.16804188	1
5194	0.400824	1
5195	0.27606776	1
5196	0.21084793	1
5197	0.33725697	0
5198	0.21163972	1
5199	0.40804332	1
5200	1.0	2
5201	0.25066802	1
5202	0.24539071	1
5203	0.37678993	1
5204	0.25516093	1
5205	0.40433407	1
5206	0.34112692	1
5207	1.0	2
5208	0.39273518	1
5209	0.33070263	0
5210	0.47551352	1
5211	0.4052516	1
5212	0.37672776	1
5213	-0.0013194131	1
5214	0.43262693	1
5215	0.17975909	1
5216	0.32998466	1
5217	1.0	2
5218	0.3595595	1
5219	0.40987837	1
5220	0.35099143	1
5221	0.23979238	1
5222	0.9999993	2
5223	0.99999964	2
5224	1.0000007	2
5225	1.0	2
5226	0.16489804	1
5227	0.27953652	1
5228	0.46211562	1
5229	0.41880876	1
5230	0.32485038	1
5231	0.36443773	0
5232	0.18756539	1
5233	0.23157112	1
5234	0.36628368	1
5235	0.34359622	1
5236	0.38578036	0
5237	0.25160143	1
5238	0.43997413	1
5239	0.25932685	1
5240	0.29826292	0
5241	0.24320959	1
5242	1.0	2
5243	0.1017276	1
5244	0.20652488	1
5245	0.26953673	0
5246	1.0000014	2
5247	0.45042488	1
5248	1.0	2
5249	0.46244583	1
5250	0.2351197	1
5251	0.14942354	0
5252	0.9999993	2
5253	0.25393263	1
5254	0.53715014	1
5255	0.20839946	1
5256	0.26185405	1
