cand id	similarity score	score
5978	0.8099575	1
5979	0.8325504	2
5980	0.8047818	1
5981	0.80512017	1
5982	0.81713855	2
5983	0.8160415	1
5984	0.80740047	1
5985	0.8003029	0
5986	0.8226094	2
5987	0.8252519	3
5988	0.8290054	3
5989	0.81765544	1
5990	0.8201471	3
5991	0.8229873	2
5992	0.81723976	1
5993	0.8207691	2
5994	0.81465054	2
5995	0.8259245	2
5996	0.8152633	1
5997	0.8288099	2
5998	0.8100321	2
5999	0.80569506	1
6000	0.8263937	2
6001	0.8131985	1
6002	0.8253108	2
6003	0.83827823	3
6004	0.79539293	1
6005	0.820687	3
6006	0.83000606	2
6007	0.8326818	3
6008	0.8222079	1
6010	0.8272082	1
6011	0.7954923	1
6012	0.79330987	0
6013	0.81197655	1
6014	0.8339301	3
6015	0.8337957	2
6016	0.8310636	3
6017	0.82839525	1
6018	0.807412	2
6019	0.8151643	1
6020	0.8310331	2
6021	0.819911	2
6022	0.8251309	2
6023	0.832585	2
6024	0.8162066	1
6025	0.8055972	1
6026	0.8372008	3
6027	0.8398077	3
6028	0.8139867	2
6029	0.8176082	1
6030	0.8357151	3
6031	0.8373714	3
6032	0.8209109	2
6033	0.83778876	3
6034	0.82060915	2
6035	0.81265396	1
6036	0.8288433	2
6037	0.82218134	2
6038	0.8107317	2
6039	0.8192519	1
6040	0.82354116	1
6041	0.8040204	2
6042	0.83551985	2
6043	0.8233003	1
6044	0.7955794	2
6045	0.8225734	2
6046	0.8194173	1
6047	0.80086046	1
6048	0.82446164	1
6049	0.81355345	1
6050	0.8357813	3
6051	0.8279779	1
6052	0.8082926	2
6053	0.8055432	1
6054	0.8129974	1
6055	0.82260615	2
6056	0.8218669	1
6057	0.8279975	3
6058	0.8148201	2
6059	0.81233114	1
6060	0.80045635	1
6061	0.8319445	3
6062	0.81630576	1
6063	0.8216228	2
6064	0.8190229	2
6065	0.8252562	2
6066	0.8058205	1
6067	0.814672	1
6068	0.82729113	2
6069	0.8197371	2
6070	0.8218936	2
6071	0.83010334	2
6072	0.8280875	2
6073	0.82978714	2
6074	0.8215045	2
6075	0.8392778	3
6076	0.82040226	2
6077	0.8081819	1
6078	0.8173167	2
6079	0.8299692	3
6080	0.82555723	2
6081	0.80732685	2
6082	0.8147384	1
6083	0.80243784	1
6084	0.82001776	3
6085	0.83344597	3
6086	0.8138305	1
6087	0.82122517	2
6088	0.8276809	2
6089	0.816639	3
6090	0.8179296	1
6091	0.8310826	3
6092	0.8092767	1
6093	0.8062256	1
6094	0.83258265	1
6095	0.84040093	3
6096	0.8297728	2
6097	0.8085145	1
6098	0.82701963	3
6099	0.7959328	1
6100	0.82315004	2
6101	0.81192446	2
6102	0.82074046	2
6103	0.82832086	2
6104	0.79840976	1
6105	0.831673	3
6106	0.81504714	1
6107	0.8214603	2
6108	0.80671597	1
6109	0.82107866	2
6110	0.8175046	2
6111	0.82428074	2
6112	0.8202513	1
6113	0.82335854	3
6114	0.8011791	1
6115	0.7967618	2
6116	0.82717854	2
6117	0.8134949	1
6118	0.82495415	3
6119	0.8193198	1
6120	0.81697285	2
6121	0.8364445	3
6122	0.8269937	2
6123	0.8289225	3
6124	0.82477075	3
6125	0.8166252	2
6126	0.8192782	1
6127	0.8411775	3
6128	0.8326586	3
6129	0.8138972	2
6130	0.81846964	1
6131	0.81044656	1
6132	0.8174394	3
6133	0.81576324	1
6134	0.8239806	2
6135	0.81131655	2
6136	0.8018693	1
6137	0.8165149	2
6138	0.827733	2
6139	0.81809384	2
6140	0.8117343	1
6141	0.8301178	2
6142	0.83519274	2
6143	0.81564766	3
6144	0.817486	3
6145	0.82883763	3
6146	0.8241172	2
6147	0.81252754	2
6148	0.8065067	2
6149	0.81562763	2
6150	0.8223968	2
6151	0.8237331	2
6152	0.82742333	2
6153	0.8081897	2
6154	0.7975349	1
6155	0.8231132	1
6156	0.8214096	2
6157	0.8317913	3
6158	0.8342231	3
6159	0.8122018	2
6160	0.8292315	2
6161	0.8147934	2
6162	0.8283911	2
6163	0.8070134	1
6164	0.8213609	2
6165	0.8355336	3
6166	0.8056499	1
6167	0.80233413	3
6168	0.82311934	2
6169	0.8313749	2
6170	0.82844853	1
6171	0.830426	3
6172	0.83518606	2
6173	0.8099342	1
6174	0.8211295	2
6175	0.80821306	1
6176	0.8084371	1
6177	0.82847387	2
6178	0.8243973	3
6179	0.8006552	2
6180	0.8197478	3
6181	0.8287876	3
6182	0.82811844	3
6183	0.8298041	3
6184	0.8229049	1
6185	0.8177265	2
6186	0.8085268	2
6187	0.812402	1
6188	0.80205536	0
6189	0.8003744	1
6190	0.8332474	2
6191	0.8289547	2
6192	0.8363293	3
6193	0.82197237	1
6194	0.8356744	3
6195	0.8293332	3
6196	0.8065658	1
6197	0.8271369	2
6198	0.82692295	3
6199	0.8154592	2
6200	0.8310681	0
6201	0.8096585	2
6202	0.80677557	1
6203	0.8309462	3
6204	0.834629	1
6205	0.8077619	2
6206	0.80044216	0
6207	0.7891634	0
6208	0.8262721	3
6209	0.8169044	2
6210	0.82456905	2
6211	0.81730187	1
6212	0.8240943	2
6213	0.80469203	1
6214	0.8168882	1
6215	0.80989814	1
6216	0.8305566	2
6217	0.81186646	1
6218	0.81979966	2
6219	0.82206345	2
6220	0.8313898	2
6221	0.8209776	2
6222	0.81059337	2
6223	0.8336387	3
6224	0.8105233	2
6225	0.8345505	3
6226	0.82128817	3
6227	0.8110466	1
6228	0.825379	3
6229	0.8053042	1
6230	0.8039053	1
6231	0.8191589	2
6232	0.81528276	1
6233	0.79668826	2
6234	0.80884534	1
6235	0.8044091	1
6236	0.8365436	2
6237	0.8297235	2
6238	0.7956711	0
6239	0.81689	2
6240	0.8277171	3
6241	0.80103785	1
6242	0.80177623	1
6243	0.82599264	2
6244	0.81712264	1
6245	0.82142824	3
6246	0.8300681	1
6247	0.82707864	3
6248	0.8189962	1
6249	0.8362273	3
6250	0.83053404	3
6251	0.8136194	1
6252	0.80827665	1
6253	0.8329523	3
6254	0.83212835	3
6255	0.8042525	1
6256	0.8162319	1
6257	0.80251455	1
6258	0.80020964	1
6259	0.8048544	3
6260	0.81448126	2
6261	0.82252264	1
6262	0.8371089	3
6263	0.82839525	3
6264	0.8315018	3
6265	0.8297507	2
6266	0.8077356	1
6267	0.8326323	3
6268	0.83303195	3
6269	0.800285	1
6270	0.83226824	3
6271	0.818886	2
6272	0.8280472	2
6273	0.81299764	1
6274	0.8229025	1
6275	0.806635	1
6276	0.8273773	3
6277	0.80264604	1
6278	0.803027	1
6279	0.82589936	2
6280	0.8231878	3
6281	0.8310222	1
6282	0.8257121	3
6283	0.8025954	1
6284	0.8411082	3
6285	0.82153803	2
6286	0.82418936	3
6287	0.82927287	3
6288	0.82779354	2
6289	0.81176764	2
6290	0.818516	1
6291	0.8229225	2
