cand id	similarity score	score
5978	0.8332317	1
5979	0.82517666	2
5980	0.80932343	1
5981	0.80294997	1
5982	0.814931	2
5983	0.8245628	1
5984	0.8313141	1
5985	0.7992825	0
5986	0.8323928	2
5987	0.82294047	3
5988	0.82222635	3
5989	0.8325732	1
5990	0.8263457	3
5991	0.83900476	2
5992	0.8203976	1
5993	0.82700115	2
5994	0.82158625	2
5995	0.83737063	2
5996	0.82757163	1
5997	0.8387368	2
5998	0.8250627	2
5999	0.81585455	1
6000	0.8281832	2
6001	0.8242772	1
6002	0.83339953	2
6003	0.8422926	3
6004	0.80307436	1
6005	0.8206634	3
6006	0.8468048	2
6007	0.8410368	3
6008	0.8246876	1
6010	0.8420633	1
6011	0.80206853	1
6012	0.80146486	0
6013	0.8300581	1
6014	0.84141445	3
6015	0.84892267	2
6016	0.8302972	3
6017	0.8483586	1
6018	0.81456095	2
6019	0.8332809	1
6020	0.8364751	2
6021	0.83962756	2
6022	0.8292561	2
6023	0.8383013	2
6024	0.8249168	1
6025	0.8133894	1
6026	0.83848345	3
6027	0.83211154	3
6028	0.8192193	2
6029	0.8227028	1
6030	0.84279627	3
6031	0.83452255	3
6032	0.83537287	2
6033	0.83201647	3
6034	0.8213188	2
6035	0.8180384	1
6036	0.82504517	2
6037	0.83756566	2
6038	0.79635495	2
6039	0.8212218	1
6040	0.8344889	1
6041	0.8174235	2
6042	0.84411925	2
6043	0.8435115	1
6044	0.82645583	2
6045	0.82564574	2
6046	0.8239367	1
6047	0.81439793	1
6048	0.8321192	1
6049	0.8290586	1
6050	0.8325367	3
6051	0.8332462	1
6052	0.8051496	2
6053	0.8185822	1
6054	0.8317486	1
6055	0.83301586	2
6056	0.8340028	1
6057	0.83246094	3
6058	0.82123286	2
6059	0.8167393	1
6060	0.80879384	1
6061	0.82788867	3
6062	0.8216686	1
6063	0.82696265	2
6064	0.83125025	2
6065	0.8342187	2
6066	0.810123	1
6067	0.8272069	1
6068	0.8366805	2
6069	0.83165467	2
6070	0.83125854	2
6071	0.8413345	2
6072	0.8414485	2
6073	0.83017284	2
6074	0.8364328	2
6075	0.8289354	3
6076	0.81902564	2
6077	0.8208031	1
6078	0.83850634	2
6079	0.83416677	3
6080	0.83276397	2
6081	0.82818455	2
6082	0.8315708	1
6083	0.8203171	1
6084	0.8247871	3
