cand id	similarity score	score
5978	0.153005462	1
5979	0.189393934	2
5980	0.171171167	1
5981	0.178403752	1
5982	0.189655168	2
5983	0.128078814	1
5984	0.17297297	1
5985	0.148148144	0
5986	0.216216212	2
5987	0.198412694	3
5988	0.159999995	3
5989	0.205607472	1
5990	0.176470584	3
5991	0.177339898	2
5992	0.163461534	1
5993	0.206896547	2
5994	0.191304343	2
5995	0.203539819	2
5996	0.150234738	1
5997	0.174311922	2
5998	0.17708333	2
5999	0.124293783	1
6000	0.196721307	2
6001	0.172588829	1
6002	0.183406109	2
6003	0.185873601	3
6004	0.055865919	1
6005	0.181818177	3
6006	0.196261678	2
6007	0.188524585	3
6008	0.219409278	1
6010	0.179245279	1
6011	0.048192769	1
6012	0.126829264	0
6013	0.17297297	1
6014	0.21259842	3
6015	0.173913039	2
6016	0.242857138	3
6017	0.194174753	1
6018	0.123222745	2
6019	0.160804016	1
6020	0.232931722	2
6021	0.183673466	2
6022	0.146788987	2
6023	0.158333329	2
6024	0.159999996	1
6025	0.116402113	1
6026	0.235294113	3
6027	0.198717944	3
6028	0.163461534	2
6029	0.174311922	1
6030	0.205323189	3
6031	0.21886792	3
6032	0.163461534	2
6033	0.238596486	3
6034	0.145748983	2
6035	0.149532706	1
6036	0.171206221	2
6037	0.201923073	2
6038	0.168674694	2
6039	0.190476186	1
6040	0.210526312	1
6041	0.148936167	2
6042	0.215517237	2
6043	0.212121208	1
6044	0.097560974	2
6045	0.232142853	2
6046	0.150442473	1
6047	0.104712039	1
6048	0.209205016	1
6049	0.12307692	1
6050	0.239999995	3
6051	0.21259842	1
6052	0.159663861	2
6053	0.105820103	1
6054	0.172588829	1
6055	0.262008729	2
6056	0.156682023	1
6057	0.178137647	3
6058	0.157205236	2
6059	0.086956519	1
6060	0.116402113	1
6061	0.222222217	3
6062	0.185185181	1
6063	0.173913039	2
6064	0.189573456	2
6065	0.162162158	2
6066	0.145077717	1
6067	0.159999996	1
6068	0.208530802	2
6069	0.174672485	2
6070	0.235294113	2
6071	0.181818177	2
6072	0.175115203	2
6073	0.179104473	2
6074	0.182741113	2
6075	0.182389932	3
6076	0.214559382	2
6077	0.14705882	1
6078	0.207920788	2
6079	0.211864402	3
6080	0.169642853	2
6081	0.089385472	2
6082	0.150753765	1
6083	0.111111108	1
6084	0.159999996	3
6085	0.157534242	3
6086	0.179245279	1
6087	0.223300967	2
6088	0.157894732	2
6089	0.202898546	3
6090	0.168224295	1
6091	0.176470584	3
6092	0.169312166	1
6093	0.144444442	1
6094	0.212389376	1
6095	0.224422437	3
6096	0.179487175	2
6097	0.14285714	1
6098	0.176470584	3
6099	0.131313128	1
6100	0.176923072	2
6101	0.157894732	2
6102	0.185654004	2
6103	0.152610437	2
6104	0.087431691	1
6105	0.21548821	3
6106	0.133333329	1
6107	0.127999995	2
6108	0.144329893	1
6109	0.189189185	2
6110	0.148148144	2
6111	0.181818177	2
6112	0.189999996	1
6113	0.200836815	3
6114	0.145251394	1
6115	0.129032255	2
6116	0.218623477	2
6117	0.178571424	1
6118	0.21259842	3
6119	0.161137437	1
6120	0.20444444	2
6121	0.223140491	3
6122	0.155844151	2
6123	0.166666662	3
6124	0.173913039	3
6125	0.165803105	2
6126	0.175115203	1
6127	0.199999995	3
6128	0.187499995	3
6129	0.182648398	2
6130	0.150234738	1
6131	0.112244894	1
6132	0.2173913	3
6133	0.1761658	1
6134	0.221343869	2
6135	0.133333329	2
6136	0.134020615	1
6137	0.170212761	2
