cand id	similarity score	score
5978	0.8578831	1
5979	0.8179324	2
5980	0.81391674	1
5981	0.8007915	1
5982	0.8127353	2
5983	0.833264	1
5984	0.85668737	1
5985	0.7982646	0
5986	0.84241164	2
5987	0.82064205	3
5988	0.8155572	3
5989	0.84804547	1
5990	0.8326387	3
5991	0.8556582	2
5992	0.82357997	1
5993	0.83332866	2
5994	0.82864106	2
5995	0.8491384	2
5996	0.8402572	1
5997	0.8489044	2
5998	0.84066164	2
5999	0.8262736	1
6000	0.82998043	2
6001	0.8356621	1
6002	0.84164846	2
6003	0.84634554	3
6004	0.8109055	1
6005	0.8206397	3
6006	0.86429757	2
6007	0.8495612	3
6008	0.8271823	1
6010	0.85746163	1
6011	0.8087544	1
6012	0.8097894	0
6013	0.84896326	1
6014	0.8490343	3
6015	0.8646087	2
6016	0.8295322	3
6017	0.8693079	1
6018	0.82183754	2
6019	0.852221	1
6020	0.8419887	2
6021	0.86031574	2
6022	0.8334228	2
6023	0.84409666	2
6024	0.8338149	1
6025	0.82133394	1
6026	0.83976996	3
6027	0.82455504	3
6028	0.8245195	2
6029	0.8278614	1
6030	0.84999853	3
6031	0.83169293	3
6032	0.85035354	2
6033	0.8263232	3
6034	0.82202977	2
6035	0.8234947	1
6036	0.8212816	2
6037	0.85353655	2
6038	0.78247917	2
6039	0.8232013	1
6040	0.8457317	1
6041	0.83128107	2
6042	0.8528975	2
6043	0.86474013	1
6044	0.8598257	2
6045	0.82874113	2
6046	0.82850623	1
6047	0.8284009	1
6048	0.83992034	1
6049	0.84516615	1
6050	0.82931715	3
6051	0.8385819	1
6052	0.8020309	2
6053	0.8320503	1
6054	0.8513853	1
6055	0.8436924	2
6056	0.84650254	1
6057	0.83697283	3
6058	0.82774734	2
6059	0.82119566	1
6060	0.81730694	1
6061	0.8238722	3
6062	0.8271025	1
6063	0.8323723	2
6064	0.8438482	2
6065	0.84337795	2
6066	0.8144718	1
6067	0.8401336	1
6068	0.84628546	2
6069	0.8439239	2
6070	0.84083945	2
6071	0.85287386	2
6072	0.8552476	2
6073	0.83055896	2
6074	0.8519137	2
6075	0.81884474	3
6076	0.8176536	2
6077	0.8338249	1
6078	0.8608239	2
6079	0.838407	3
6080	0.84009767	2
6081	0.85014856	2
6082	0.84911335	1
6083	0.8390112	1
6084	0.82961226	3
6085	0.82370275	3
6086	0.835244	1
6087	0.8468519	2
6088	0.83652925	2
6089	0.8128053	3
6090	0.84720105	1
6091	0.8435994	3
6092	0.8346791	1
6093	0.84479	1
6094	0.8599702	1
6095	0.8357014	3
6096	0.81530046	2
6097	0.84234834	1
6098	0.8381282	3
6099	0.79765236	1
6100	0.8229139	2
6101	0.8087173	2
6102	0.8301595	2
6103	0.83992624	2
6104	0.81384504	1
6105	0.8274398	3
6106	0.81703526	1
6107	0.81137145	2
6108	0.80212164	1
6109	0.83239174	2
6110	0.83246875	2
6111	0.8310534	2
6112	0.8073458	1
6113	0.83380747	3
6114	0.84420216	1
6115	0.82854784	2
6116	0.8264541	2
6117	0.8376654	1
6118	0.8267014	3
6119	0.82114273	1
6120	0.8452502	2
