cand id	similarity score	score
4918	0.10475702	1
4919	0.24945065	1
4920	0.37284476	1
4922	0.5582929	0
4923	0.39302653	1
4925	0.49582526	1
4926	0.3409535	1
4927	0.102947064	1
4929	0.45122126	1
4930	0.087392755	1
4931	0.2033443	1
4932	0.3325804	1
4933	0.2739827	1
4934	0.17337498	1
4935	0.07764442	1
4937	0.3790477	1
4938	0.4974537	1
4939	0.44025454	1
4940	0.040148158	1
4941	0.24909185	0
4942	0.24100055	0
4943	0.20189881	1
4945	0.4633764	1
4947	0.32955027	1
4949	0.3196204	1
4950	0.20833519	1
4951	0.09296494	0
4952	0.35777673	0
4953	0.57901716	0
4954	0.4753574	1
4955	0.30755144	1
4957	0.2737761	1
4958	0.19115068	1
4959	0.2547919	1
4960	0.2712856	1
4962	0.58225673	1
4963	0.13037185	0
4964	0.21622412	1
4965	0.24737053	0
4966	0.1395968	1
4967	0.29526848	1
4968	0.16943157	0
4969	0.29398897	1
4970	0.277236	0
4971	0.2332603	1
4972	0.45750827	1
4973	0.2267434	1
4975	0.3837048	1
4976	0.1381725	1
4977	0.19906928	1
4978	0.2725252	1
4981	0.32308388	1
4982	0.38524073	1
4983	0.38154948	1
4984	0.5885547	1
4985	0.09403538	1
4986	0.21221574	1
4987	0.23872054	0
4988	0.37378487	1
4989	0.3715232	0
4990	0.35506693	1
4991	0.28413752	1
4992	0.3933133	1
4993	0.24310645	0
4994	0.45077524	0
4995	0.3026937	1
4997	0.064094655	0
5001	0.2064154	0
5003	0.39049718	1
5004	0.35601234	0
5006	0.3024253	0
5007	0.1956097	0
5008	0.22142443	0
5009	0.21856064	1
5010	0.08850416	1
5011	0.21161713	0
5012	0.07779275	1
5013	0.28904575	1
5014	0.27026072	0
5017	0.03853421	0
5018	0.24116124	0
5019	0.16600308	1
5020	0.45678288	1
5021	0.3417379	1
5022	0.30095473	0
5023	0.4265635	1
5024	0.08641555	1
5025	0.4036991	1
5026	0.07840195	1
5028	0.26602915	0
5029	0.20814624	1
5030	0.24474372	0
5031	0.22007252	1
5033	0.22651032	1
5034	0.4120256	1
5036	0.3997398	1
5037	0.20131044	1
5038	0.40034652	0
5039	0.37333423	1
5040	0.3049271	1
5041	0.22282365	0
5042	0.29149178	0
5043	0.17831713	0
5046	0.45964065	1
5047	0.51813734	1
5048	0.2950096	1
5050	0.28393975	0
5051	0.040338866	1
5053	0.28947768	1
5054	0.49063554	1
5056	0.3532898	1
5058	0.16506083	1
5059	0.23976131	1
5060	0.5313403	1
5061	0.2596948	1
5062	0.42823043	0
5063	0.27938008	1
5064	0.13983342	1
5065	0.2696148	1
5066	0.3839432	1
5067	0.194481	0
5068	0.443908	1
5069	0.29715472	1
5071	0.3272925	1
5073	0.29895443	0
5074	0.13003246	1
5075	0.18405035	1
5076	0.41148382	1
5079	0.3518648	0
5083	0.3602284	1
5084	0.17336297	1
5085	0.43717602	0
5086	0.3876991	1
5087	0.34031147	1
5089	0.66073143	1
5090	0.3300302	1
5091	0.25482824	0
5092	0.12169043	1
5094	0.43861163	1
5095	0.22681828	1
5096	0.44432014	1
5098	0.4007004	1
5099	0.22120723	1
5100	0.16445093	0
5101	0.07627168	1
5102	0.2913851	1
5104	0.5354031	1
5105	0.31715852	1
5106	0.17123058	0
5107	0.23990433	1
5108	0.11329719	0
5109	0.2583846	0
5110	0.18598886	0
5112	0.35962164	1
5114	0.28296927	1
5115	0.22009195	1
5116	0.13593027	1
5117	0.25507334	1
5118	0.078844465	0
5119	0.298567	0
5120	0.23960379	1
5121	0.037629407	0
5122	0.22553523	1
5123	0.09954223	1
5124	0.4191817	1
5125	0.40603313	1
5126	0.20363814	1
5127	0.1811449	0
5128	0.2734805	1
5129	0.071132116	1
5130	0.29989985	1
5131	0.39373887	0
5132	0.22730069	0
5133	0.2460091	1
5134	0.18428485	0
5135	0.25117266	1
5136	0.4455647	1
5137	0.22842905	0
5138	0.25090957	0
5139	0.19190504	0
5143	0.08377849	1
5144	0.5481893	1
5145	0.52021253	1
5146	0.38776124	1
5147	0.23965147	1
5148	0.20985448	0
5150	0.07518147	1
5152	0.3958808	1
5153	0.3783703	0
5154	0.2376109	1
5155	0.18704058	0
5157	0.19079293	0
5159	0.25513762	0
5160	0.23557916	1
5162	0.29883328	0
5163	0.3896464	0
5164	0.38384256	1
5165	0.43046206	0
5166	0.25332555	0
5167	0.4019248	1
5168	0.31700382	1
5169	0.16171674	1
5170	0.21563046	1
5173	0.19547798	1
5176	0.48399365	1
5177	0.14343745	0
5178	0.32586855	1
5179	0.47316286	1
5180	0.118771546	0
5181	0.34802312	1
5182	0.11446933	1
5183	0.16986844	1
5184	0.29398263	1
5185	0.30312032	1
5186	0.13568342	1
5188	0.12385037	1
5189	0.2443789	1
5190	0.22970855	0
5191	0.31144825	1
5192	0.29369795	1
5193	0.16860129	1
5194	0.4008247	1
5195	0.27606848	1
5196	0.21084829	1
5197	0.33742613	0
5198	0.21230932	1
5199	0.40804368	1
5201	0.25066906	1
5202	0.24539211	1
5203	0.3767009	1
5204	0.25559074	1
5205	0.40433407	1
5206	0.34112692	1
5208	0.392631	1
5209	0.33070335	0
5210	0.47551563	1
5211	0.40525195	1
5212	0.37672848	1
5213	-0.00018823532	1
